project,message,level,rule_id,location,report_name
efcore,null (last assigned on line 96) is dereferenced.,error,NULLPTR_DEREFERENCE,file:/home/msedlyarskiy/benchmark/projects/efcore/src/EFCore/Diagnostics/MaterializationInterceptionData.cs 96:12,efcore_artifacts_EFCore.sarif
efcore,null (last assigned on line 108) is dereferenced.,error,NULLPTR_DEREFERENCE,file:/home/msedlyarskiy/benchmark/projects/efcore/src/EFCore/Diagnostics/MaterializationInterceptionData.cs 108:12,efcore_artifacts_EFCore.sarif
efcore,"The call to `EntityTypeBuilder`1<TEntity> EntityTypeBuilder`1<TEntity>.HasBaseType(Type)` may trigger the following issue: `InternalEntityTypeBuilder InternalEntityTypeBuilder.HasBaseType(Type,ConfigurationSource)()` could be null (from the call to `EntityTypeBuilder`1` on line 59) and is dereferenced in the call to `EntityTypeBuilder`1`.",error,NULLPTR_DEREFERENCE,file:/home/msedlyarskiy/benchmark/projects/efcore/src/EFCore/Metadata/Builders/EntityTypeBuilder`.cs 67:12,efcore_artifacts_EFCore.sarif
efcore,"Resource dynamically allocated by constructor Microsoft.EntityFrameworkCore.Metadata.Conventions.Internal.ConventionDispatcher$ConventionBatch(), indirectly via call to `Model.DelayConventions()` on line 234 is not closed after the last access at line 290, column 5.",error,PULSE_RESOURCE_LEAK,file:/home/msedlyarskiy/benchmark/projects/efcore/src/EFCore/Metadata/Builders/ReferenceNavigationBuilder.cs 290:5,efcore_artifacts_EFCore.sarif
spbu-homeworks-1,"Resource dynamically allocated by constructor NUnit.VisualStudio.TestAdapter.Metadata.DirectReflectionMetadataProvider() on line 42 is not closed after the last access at line 42, column 15.",error,PULSE_RESOURCE_LEAK,file:D:/repos/NUnit/nunit3-vs-adapter/src/NUnitTestAdapter/NavigationDataProvider.cs 42:15,spbu-homeworks-1_Semester2_Homework4_ParseTree.Tests.sarif
NLog,"Unprotected write. Non-private method `MethodFactory.RegisterType(...)` indirectly mutates container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.set_Item(...)` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 99:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `MethodFactory.RegisterType(...)` indirectly mutates container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.set_Item(...)` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 115:21,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `MethodFactory.Clear()` mutates container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.Clear()` outside of synchronization.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 152:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `MethodFactory.RegisterDefinition(...)` indirectly mutates container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.set_Item(...)` outside of synchronization.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 164:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `MethodFactory.RegisterDefinition(...)` mutates container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.set_Item(...)` outside of synchronization.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 176:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Unprotected write. Non-private method `MethodFactory.RegisterDefinition(...)` mutates container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.set_Item(...)` outside of synchronization.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 200:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `MethodFactory.TryCreateInstance(...)` indirectly reads without synchronization from container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `MethodFactory.RegisterDefinition(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 213:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `MethodFactory.TryCreateInstance(...)` reads without synchronization from container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `MethodFactory.RegisterDefinition(...)`.
 Reporting because this access may occur on a background thread.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 232:13,NLog_src_NLog.WindowsRegistry.sarif
NLog,"Read/Write race. Non-private method `MethodFactory.CreateInstance(...)` indirectly reads without synchronization from container `this.NLog.Config.MethodFactory._nameToMethodInfo` via call to `Dictionary`2<!0,!1>.TryGetValue(...)`. Potentially races with write in method `MethodFactory.RegisterDefinition(...)`.
 Reporting because another access to the same memory occurs on a background thread, although this access may not.",warning,THREAD_SAFETY_VIOLATION,file:/home/msedlyarskiy/benchmark/projects/NLog/src/NLog/Config/MethodFactory.cs 265:13,NLog_src_NLog.WindowsRegistry.sarif
