project,message,level,rule_id,location,report_name
litedb,Checking value of 'entity' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Insert.cs 17:1,litedb_LiteDB.sarif
litedb,Checking value of 'entity' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Insert.cs 40:1,litedb_LiteDB.sarif
litedb,Checking value of 'entity' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Update.cs 18:1,litedb_LiteDB.sarif
litedb,Checking value of 'entity' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Update.cs 31:1,litedb_LiteDB.sarif
litedb,String literal contains potential interpolated expression. Consider inspecting: Name.,note,V3138,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Update.cs 64:1,litedb_LiteDB.sarif
litedb,Checking value of 'entity' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Upsert.cs 17:1,litedb_LiteDB.sarif
litedb,Checking value of 'entity' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Database/Collections/Upsert.cs 37:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 2nd argument: value.AsArray.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 146:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 2nd argument: value.AsArray.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 150:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 2nd argument: value.AsArray.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 154:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 2nd argument: value.AsDocument.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 164:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator can lead to NullReferenceException. Consider inspecting 'doc'.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 170:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 4th argument: value.AsDocument.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 201:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 4th argument: value.AsDocument.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 205:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 3rd argument: doc.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/BsonMapper.Deserialize.cs 210:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator can lead to NullReferenceException. Consider inspecting 'bind'.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/Linq/LinqExpressionVisitor.cs 392:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator inside method can lead to NullReferenceException. Consider inspecting 1st argument.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/Linq/LinqExpressionVisitor.cs 531:1,litedb_LiteDB.sarif
litedb,Two or more case-branches perform the same actions.,warning,V3139,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Mapper/Linq/LinqExpressionVisitor.cs 603:1,litedb_LiteDB.sarif
litedb,An empty exception handler. Silent suppression of exceptions may hide the presence of bugs or vulnerabilities.,note,V3163,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Shared/SharedEngine.cs 65:1,litedb_LiteDB.sarif
litedb,Checking value of 'collection' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Document/BsonArray.cs 65:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator can lead to NullReferenceException. Consider inspecting 'otherArray'.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Document/BsonArray.cs 126:1,litedb_LiteDB.sarif
litedb,Checking value of 'id' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Storage/LiteStorage.cs 35:1,litedb_LiteDB.sarif
litedb,Checking value of 'id' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Storage/LiteStorage.cs 95:1,litedb_LiteDB.sarif
litedb,Checking value of 'id' for null will always return false when generic type is instantiated with a value type.,note,V3111,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Client/Storage/LiteStorage.cs 232:1,litedb_LiteDB.sarif
litedb,Dereferencing the result of 'as' operator can lead to NullReferenceException. Consider inspecting 'otherDoc'.,note,V3149,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Document/BsonDocument.cs 76:1,litedb_LiteDB.sarif
litedb,An empty exception handler. Silent suppression of exceptions may hide the presence of bugs or vulnerabilities.,note,V3163,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Document/Expression/Methods/DataTypes.cs 229:1,litedb_LiteDB.sarif
litedb,An empty exception handler. Silent suppression of exceptions may hide the presence of bugs or vulnerabilities.,note,V3163,file:///home/msedlyarskiy/benchmark/projects/litedb/LiteDB/Document/Expression/Methods/DataTypes.cs 258:1,litedb_LiteDB.sarif
